,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,score_category_math,score_category_reading,score_category_writing
298,male,group C,high school,free/reduced,completed,40.0,46.0,50.0,Elementary,Intermediate,Intermediate
299,male,group D,associate's degree,free/reduced,none,90.0,87.0,75.0,Advanced,Advanced,Intermediate
300,male,group A,some college,free/reduced,completed,81.0,78.0,81.0,Advanced,Advanced,Advanced
301,male,group D,some high school,free/reduced,none,56.0,54.0,52.0,Intermediate,Intermediate,Intermediate
302,female,group C,associate's degree,standard,completed,67.0,84.0,81.0,Intermediate,Advanced,Advanced
303,male,group B,associate's degree,standard,none,80.0,76.0,64.0,Advanced,Advanced,Intermediate
304,female,group C,associate's degree,standard,completed,74.0,75.0,83.0,Intermediate,Intermediate,Advanced
305,male,group A,some college,standard,none,69.0,67.0,69.0,Intermediate,Intermediate,Intermediate
306,male,group E,some college,standard,completed,99.0,87.0,81.0,Master,Advanced,Advanced
307,male,group C,some high school,standard,none,51.0,52.0,44.0,Intermediate,Intermediate,Elementary
308,female,group B,associate's degree,free/reduced,none,53.0,71.0,67.0,Intermediate,Intermediate,Intermediate
309,female,group D,high school,free/reduced,none,49.0,57.0,52.0,Intermediate,Intermediate,Intermediate
310,female,group B,associate's degree,standard,none,73.0,76.0,80.0,Intermediate,Advanced,Advanced
311,male,group B,bachelor's degree,standard,none,66.0,60.0,57.0,Intermediate,Intermediate,Intermediate
312,male,group D,bachelor's degree,standard,completed,67.0,61.0,68.0,Intermediate,Intermediate,Intermediate
313,female,group C,associate's degree,free/reduced,completed,68.0,67.0,69.0,Intermediate,Intermediate,Intermediate
314,female,group C,bachelor's degree,standard,completed,59.0,64.0,75.0,Intermediate,Intermediate,Intermediate
315,male,group C,high school,standard,none,71.0,66.0,65.0,Intermediate,Intermediate,Intermediate
316,female,group D,master's degree,standard,completed,77.0,82.0,91.0,Advanced,Advanced,Master
317,male,group C,associate's degree,standard,none,83.0,72.0,78.0,Advanced,Intermediate,Advanced
318,male,group B,bachelor's degree,standard,none,63.0,71.0,69.0,Intermediate,Intermediate,Intermediate
319,female,group D,associate's degree,free/reduced,none,56.0,65.0,63.0,Intermediate,Intermediate,Intermediate
320,female,group C,high school,free/reduced,completed,67.0,79.0,84.0,Intermediate,Advanced,Advanced
321,female,group E,high school,standard,none,75.0,86.0,79.0,Intermediate,Advanced,Advanced
322,female,group C,some college,standard,none,71.0,81.0,80.0,Intermediate,Advanced,Advanced
323,female,group C,some high school,free/reduced,none,43.0,53.0,53.0,Elementary,Intermediate,Intermediate
324,female,group C,high school,free/reduced,none,41.0,46.0,43.0,Elementary,Intermediate,Elementary
325,female,group C,some college,standard,none,82.0,90.0,94.0,Advanced,Advanced,Master
326,male,group C,some college,standard,none,61.0,61.0,62.0,Intermediate,Intermediate,Intermediate
327,male,group A,some college,free/reduced,none,28.0,29.0,25.875,Elementary,Elementary,Elementary
328,male,group C,associate's degree,standard,completed,82.0,75.0,77.0,Advanced,Intermediate,Advanced
329,female,group B,some high school,standard,none,41.0,55.0,51.0,Elementary,Intermediate,Intermediate
330,male,group C,high school,standard,none,71.0,60.0,61.0,Intermediate,Intermediate,Intermediate
331,male,group C,associate's degree,standard,none,47.0,37.0,35.0,Intermediate,Elementary,Elementary
332,male,group E,associate's degree,standard,completed,62.0,56.0,53.0,Intermediate,Intermediate,Intermediate
333,male,group B,associate's degree,standard,none,90.0,78.0,81.0,Advanced,Advanced,Advanced
334,female,group C,bachelor's degree,standard,none,83.0,93.0,95.0,Advanced,Master,Master
335,female,group B,some college,free/reduced,none,61.0,68.0,66.0,Intermediate,Intermediate,Intermediate
336,male,group D,some high school,standard,completed,76.0,70.0,69.0,Advanced,Intermediate,Intermediate
337,male,group C,associate's degree,standard,none,49.0,51.0,43.0,Intermediate,Intermediate,Elementary
338,female,group B,some high school,free/reduced,none,27.0,38.0,27.0,Elementary,Elementary,Elementary
339,female,group D,some high school,free/reduced,completed,35.0,55.0,60.0,Elementary,Intermediate,Intermediate
340,male,group C,high school,free/reduced,none,58.0,61.0,52.0,Intermediate,Intermediate,Intermediate
341,female,group C,high school,standard,none,61.0,73.0,63.0,Intermediate,Intermediate,Intermediate
342,female,group B,high school,standard,completed,69.0,76.0,74.0,Intermediate,Advanced,Intermediate
343,male,group D,associate's degree,standard,completed,67.0,72.0,67.0,Intermediate,Intermediate,Intermediate
344,male,group D,some college,standard,none,79.0,73.0,67.0,Advanced,Intermediate,Intermediate
345,female,group C,high school,standard,none,72.0,80.0,75.0,Intermediate,Advanced,Intermediate
346,male,group B,some college,standard,none,62.0,61.0,57.0,Intermediate,Intermediate,Intermediate
347,female,group C,bachelor's degree,standard,completed,77.0,94.0,95.0,Advanced,Master,Master
348,male,group D,high school,free/reduced,none,75.0,74.0,66.0,Intermediate,Intermediate,Intermediate
349,male,group E,associate's degree,standard,none,87.0,74.0,76.0,Advanced,Intermediate,Advanced
350,female,group B,bachelor's degree,standard,none,52.0,65.0,69.0,Intermediate,Intermediate,Intermediate
351,male,group E,some college,standard,none,66.0,57.0,52.0,Intermediate,Intermediate,Intermediate
352,female,group C,some college,standard,completed,63.0,78.0,80.0,Intermediate,Advanced,Advanced
353,female,group C,associate's degree,standard,none,46.0,58.0,57.0,Intermediate,Intermediate,Intermediate
354,female,group C,some college,standard,none,59.0,71.0,70.0,Intermediate,Intermediate,Intermediate
355,female,group B,bachelor's degree,standard,none,61.0,72.0,70.0,Intermediate,Intermediate,Intermediate
356,male,group A,associate's degree,standard,none,63.0,61.0,61.0,Intermediate,Intermediate,Intermediate
357,female,group C,some college,free/reduced,completed,42.0,66.0,69.0,Elementary,Intermediate,Intermediate
358,male,group D,some college,free/reduced,none,59.0,62.0,61.0,Intermediate,Intermediate,Intermediate
359,female,group D,some college,standard,none,80.0,90.0,89.0,Advanced,Advanced,Advanced
360,female,group B,high school,standard,none,58.0,62.0,59.0,Intermediate,Intermediate,Intermediate
361,male,group B,some high school,standard,completed,85.0,84.0,78.0,Advanced,Advanced,Advanced
362,female,group C,some college,standard,none,52.0,58.0,58.0,Intermediate,Intermediate,Intermediate
363,female,group D,some high school,free/reduced,none,27.0,34.0,32.0,Elementary,Elementary,Elementary
364,male,group C,some college,standard,none,59.0,60.0,58.0,Intermediate,Intermediate,Intermediate
365,male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0,Intermediate,Intermediate,Intermediate
366,male,group C,high school,standard,completed,69.0,58.0,53.0,Intermediate,Intermediate,Intermediate
367,male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0,Intermediate,Intermediate,Intermediate
368,female,group A,some high school,free/reduced,none,44.0,64.0,58.0,Elementary,Intermediate,Intermediate
369,female,group D,some high school,standard,none,73.0,84.0,85.0,Intermediate,Advanced,Advanced
370,male,group E,some college,standard,none,84.0,77.0,71.0,Advanced,Advanced,Intermediate
371,female,group C,some college,free/reduced,completed,45.0,73.0,70.0,Elementary,Intermediate,Intermediate
372,male,group D,some high school,standard,none,74.0,74.0,72.0,Intermediate,Intermediate,Intermediate
373,female,group D,some college,standard,completed,82.0,97.0,96.0,Advanced,Master,Master
374,female,group D,bachelor's degree,standard,none,59.0,70.0,73.0,Intermediate,Intermediate,Intermediate
375,male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0,Intermediate,Elementary,Elementary
376,female,group D,some high school,standard,none,80.0,90.0,82.0,Advanced,Advanced,Advanced
377,female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0,Advanced,Master,Master
378,female,group A,some high school,standard,none,71.0,83.0,77.0,Intermediate,Advanced,Advanced
379,male,group A,bachelor's degree,standard,none,66.0,64.0,62.0,Intermediate,Intermediate,Intermediate
380,female,group B,associate's degree,standard,none,80.0,86.0,83.0,Advanced,Advanced,Advanced
381,male,group C,associate's degree,standard,completed,87.0,100.0,95.0,Advanced,Master,Master
382,male,group C,master's degree,free/reduced,none,79.0,81.0,71.0,Advanced,Advanced,Intermediate
383,female,group E,some high school,free/reduced,none,38.0,49.0,45.0,Elementary,Intermediate,Elementary
384,female,group A,some high school,free/reduced,none,38.0,43.0,43.0,Elementary,Elementary,Elementary
385,female,group E,some college,standard,none,67.0,76.0,75.0,Intermediate,Advanced,Intermediate
386,female,group E,bachelor's degree,standard,none,64.0,73.0,70.0,Intermediate,Intermediate,Intermediate
387,female,group C,associate's degree,free/reduced,none,57.0,78.0,67.0,Intermediate,Advanced,Intermediate
388,female,group D,high school,standard,none,62.0,64.0,64.0,Intermediate,Intermediate,Intermediate
389,male,group D,master's degree,standard,none,73.0,70.0,75.0,Intermediate,Intermediate,Intermediate
390,male,group E,some high school,free/reduced,completed,73.0,67.0,59.0,Intermediate,Intermediate,Intermediate
391,female,group D,some college,standard,none,77.0,68.0,77.0,Advanced,Intermediate,Advanced
392,male,group E,some college,standard,none,76.0,67.0,67.0,Advanced,Intermediate,Intermediate
393,male,group C,associate's degree,standard,completed,57.0,54.0,56.0,Intermediate,Intermediate,Intermediate
394,female,group C,some high school,standard,completed,65.0,74.0,77.0,Intermediate,Intermediate,Advanced
395,male,group A,high school,free/reduced,none,48.0,45.0,41.0,Intermediate,Elementary,Elementary
396,female,group B,high school,free/reduced,none,50.0,67.0,63.0,Intermediate,Intermediate,Intermediate
397,female,group C,associate's degree,standard,none,85.0,89.0,95.0,Advanced,Advanced,Master
398,male,group B,some high school,standard,none,74.0,63.0,57.0,Intermediate,Intermediate,Intermediate
399,male,group D,some high school,standard,none,60.0,59.0,54.0,Intermediate,Intermediate,Intermediate
400,female,group C,some high school,standard,completed,59.0,54.0,67.0,Intermediate,Intermediate,Intermediate
401,male,group A,some college,standard,none,53.0,43.0,43.0,Intermediate,Elementary,Elementary
402,female,group A,some college,free/reduced,none,49.0,65.0,55.0,Intermediate,Intermediate,Intermediate
403,female,group D,high school,standard,completed,88.0,99.0,100.0,Advanced,Master,Master
404,female,group C,high school,standard,none,54.0,59.0,62.0,Intermediate,Intermediate,Intermediate
405,female,group C,some high school,standard,none,63.0,73.0,68.0,Intermediate,Intermediate,Intermediate
406,male,group B,associate's degree,standard,completed,65.0,65.0,63.0,Intermediate,Intermediate,Intermediate
407,female,group B,associate's degree,standard,none,82.0,80.0,77.0,Advanced,Advanced,Advanced
408,female,group D,high school,free/reduced,completed,52.0,57.0,56.0,Intermediate,Intermediate,Intermediate
409,male,group D,associate's degree,standard,completed,87.0,84.0,85.0,Advanced,Advanced,Advanced
410,female,group D,master's degree,standard,completed,70.0,71.0,74.0,Intermediate,Intermediate,Intermediate
411,male,group E,some college,standard,completed,84.0,83.0,78.0,Advanced,Advanced,Advanced
412,male,group D,associate's degree,standard,none,71.0,66.0,60.0,Intermediate,Intermediate,Intermediate
413,male,group B,some high school,standard,completed,63.0,67.0,67.0,Intermediate,Intermediate,Intermediate
414,female,group C,bachelor's degree,free/reduced,completed,51.0,72.0,79.0,Intermediate,Intermediate,Advanced
415,male,group E,high school,standard,none,84.0,73.0,69.0,Advanced,Intermediate,Intermediate
416,male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0,Intermediate,Intermediate,Intermediate
417,male,group C,associate's degree,standard,none,74.0,73.0,67.0,Intermediate,Intermediate,Intermediate
418,male,group D,some college,standard,none,68.0,59.0,62.0,Intermediate,Intermediate,Intermediate
419,male,group E,high school,free/reduced,completed,57.0,56.0,54.0,Intermediate,Intermediate,Intermediate
420,female,group C,associate's degree,free/reduced,completed,82.0,93.0,93.0,Advanced,Master,Master
421,female,group D,high school,standard,completed,57.0,58.0,64.0,Intermediate,Intermediate,Intermediate
422,female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0,Intermediate,Intermediate,Intermediate
423,female,group A,some high school,standard,completed,59.0,85.0,80.0,Intermediate,Advanced,Advanced
424,male,group B,some college,free/reduced,none,41.0,39.0,34.0,Elementary,Elementary,Elementary
425,female,group C,some college,free/reduced,none,62.0,67.0,62.0,Intermediate,Intermediate,Intermediate
426,male,group C,bachelor's degree,standard,none,86.0,83.0,86.0,Advanced,Advanced,Advanced
427,male,group C,some high school,free/reduced,none,69.0,71.0,65.0,Intermediate,Intermediate,Intermediate
428,male,group A,some high school,free/reduced,none,65.0,59.0,53.0,Intermediate,Intermediate,Intermediate
429,male,group C,some high school,free/reduced,none,68.0,63.0,54.0,Intermediate,Intermediate,Intermediate
430,male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0,Intermediate,Intermediate,Intermediate
431,female,group C,high school,standard,none,61.0,72.0,70.0,Intermediate,Intermediate,Intermediate
432,male,group C,high school,standard,none,61.0,56.0,55.0,Intermediate,Intermediate,Intermediate
433,female,group A,some high school,free/reduced,none,47.0,59.0,50.0,Intermediate,Intermediate,Intermediate
434,male,group C,some high school,standard,none,73.0,66.0,66.0,Intermediate,Intermediate,Intermediate
435,male,group C,some college,free/reduced,completed,50.0,48.0,53.0,Intermediate,Intermediate,Intermediate
436,male,group D,associate's degree,standard,none,75.0,68.0,64.0,Intermediate,Intermediate,Intermediate
437,male,group D,associate's degree,free/reduced,none,75.0,66.0,73.0,Intermediate,Intermediate,Intermediate
438,male,group C,high school,standard,none,70.0,56.0,51.0,Intermediate,Intermediate,Intermediate
439,male,group D,some high school,standard,completed,89.0,88.0,82.0,Advanced,Advanced,Advanced
440,female,group C,some college,standard,completed,67.0,81.0,79.0,Intermediate,Advanced,Advanced
441,female,group D,high school,standard,none,78.0,81.0,80.0,Advanced,Advanced,Advanced
442,female,group A,some high school,free/reduced,none,59.0,73.0,69.0,Intermediate,Intermediate,Intermediate
443,female,group B,associate's degree,standard,none,73.0,83.0,76.0,Intermediate,Advanced,Advanced
444,male,group A,some high school,free/reduced,none,79.0,82.0,73.0,Advanced,Advanced,Intermediate
445,female,group C,some high school,standard,completed,67.0,74.0,77.0,Intermediate,Intermediate,Advanced
446,male,group D,some college,free/reduced,none,69.0,66.0,60.0,Intermediate,Intermediate,Intermediate
447,male,group C,high school,standard,completed,86.0,81.0,80.0,Advanced,Advanced,Advanced
448,male,group B,high school,standard,none,47.0,46.0,42.0,Intermediate,Intermediate,Elementary
449,male,group B,associate's degree,standard,none,81.0,73.0,72.0,Advanced,Intermediate,Intermediate
450,female,group C,some college,free/reduced,completed,64.0,85.0,85.0,Intermediate,Advanced,Advanced
451,female,group E,some college,standard,none,100.0,92.0,97.0,Master,Master,Master
452,female,group C,associate's degree,free/reduced,none,65.0,77.0,74.0,Intermediate,Advanced,Intermediate
453,male,group C,some college,free/reduced,none,65.0,58.0,49.0,Intermediate,Intermediate,Intermediate
454,female,group C,associate's degree,free/reduced,none,53.0,61.0,62.0,Intermediate,Intermediate,Intermediate
455,male,group C,bachelor's degree,free/reduced,none,37.0,56.0,47.0,Elementary,Intermediate,Intermediate
456,female,group D,bachelor's degree,standard,none,79.0,89.0,89.0,Advanced,Advanced,Advanced
457,male,group D,associate's degree,free/reduced,none,53.0,54.0,48.0,Intermediate,Intermediate,Intermediate
458,female,group E,bachelor's degree,standard,none,100.0,100.0,100.0,Master,Master,Master
459,male,group B,high school,standard,completed,72.0,65.0,68.0,Intermediate,Intermediate,Intermediate
460,male,group C,bachelor's degree,free/reduced,none,53.0,58.0,55.0,Intermediate,Intermediate,Intermediate
461,male,group B,some college,free/reduced,none,54.0,54.0,45.0,Intermediate,Intermediate,Elementary
462,female,group E,some college,standard,none,71.0,70.0,76.0,Intermediate,Intermediate,Advanced
463,female,group C,some college,free/reduced,none,77.0,90.0,91.0,Advanced,Advanced,Master
464,male,group A,bachelor's degree,standard,completed,75.0,58.0,62.0,Intermediate,Intermediate,Intermediate
465,female,group C,some college,standard,none,84.0,87.0,91.0,Advanced,Advanced,Master
466,female,group D,associate's degree,free/reduced,none,27.0,31.0,38.0,Elementary,Elementary,Elementary
467,male,group A,high school,free/reduced,completed,72.0,67.0,65.0,Intermediate,Intermediate,Intermediate
468,female,group A,high school,free/reduced,completed,77.0,88.0,85.0,Advanced,Advanced,Advanced
469,male,group C,some college,standard,none,91.0,74.0,76.0,Master,Intermediate,Advanced
470,female,group C,associate's degree,standard,completed,83.0,85.0,90.0,Advanced,Advanced,Advanced
471,female,group C,high school,standard,none,63.0,69.0,74.0,Intermediate,Intermediate,Intermediate
472,female,group C,associate's degree,standard,completed,68.0,86.0,84.0,Intermediate,Advanced,Advanced
473,female,group D,some high school,standard,none,59.0,67.0,61.0,Intermediate,Intermediate,Intermediate
474,female,group B,associate's degree,standard,completed,90.0,90.0,91.0,Advanced,Advanced,Master
475,female,group D,bachelor's degree,standard,completed,71.0,76.0,83.0,Intermediate,Advanced,Advanced
476,male,group E,bachelor's degree,standard,completed,76.0,62.0,66.0,Advanced,Intermediate,Intermediate
477,male,group D,associate's degree,standard,none,80.0,68.0,72.0,Advanced,Intermediate,Intermediate
478,female,group D,master's degree,standard,none,55.0,64.0,70.0,Intermediate,Intermediate,Intermediate
479,male,group E,associate's degree,standard,none,76.0,71.0,67.0,Advanced,Intermediate,Intermediate
480,male,group B,high school,standard,completed,73.0,71.0,68.0,Intermediate,Intermediate,Intermediate
481,female,group D,associate's degree,free/reduced,none,52.0,59.0,56.0,Intermediate,Intermediate,Intermediate
482,male,group C,some college,free/reduced,none,68.0,68.0,61.0,Intermediate,Intermediate,Intermediate
483,male,group A,high school,standard,none,59.0,52.0,46.0,Intermediate,Intermediate,Intermediate
484,female,group B,associate's degree,standard,none,49.0,52.0,54.0,Intermediate,Intermediate,Intermediate
485,male,group C,high school,standard,none,70.0,74.0,71.0,Intermediate,Intermediate,Intermediate
486,male,group D,some college,free/reduced,none,61.0,47.0,56.0,Intermediate,Intermediate,Intermediate
487,female,group C,associate's degree,free/reduced,none,60.0,75.0,74.0,Intermediate,Intermediate,Intermediate
488,male,group B,some high school,standard,completed,64.0,53.0,57.0,Intermediate,Intermediate,Intermediate
489,male,group A,associate's degree,free/reduced,completed,79.0,82.0,82.0,Advanced,Advanced,Advanced
490,female,group A,associate's degree,free/reduced,none,65.0,85.0,76.0,Intermediate,Advanced,Advanced
491,female,group C,associate's degree,standard,none,64.0,64.0,70.0,Intermediate,Intermediate,Intermediate
492,female,group C,some college,standard,none,83.0,83.0,90.0,Advanced,Advanced,Advanced
493,female,group C,bachelor's degree,standard,none,81.0,88.0,90.0,Advanced,Advanced,Advanced
494,female,group B,high school,standard,none,54.0,64.0,68.0,Intermediate,Intermediate,Intermediate
495,male,group D,high school,standard,completed,68.0,64.0,66.0,Intermediate,Intermediate,Intermediate
496,female,group C,some college,standard,none,54.0,48.0,52.0,Intermediate,Intermediate,Intermediate
497,female,group D,some college,free/reduced,completed,59.0,78.0,76.0,Intermediate,Advanced,Advanced
498,female,group B,some high school,standard,none,66.0,69.0,68.0,Intermediate,Intermediate,Intermediate
499,male,group E,some college,standard,none,76.0,71.0,72.0,Advanced,Intermediate,Intermediate
500,female,group D,master's degree,standard,none,74.0,79.0,82.0,Intermediate,Advanced,Advanced
501,female,group B,associate's degree,standard,completed,94.0,87.0,92.0,Master,Advanced,Master
502,male,group C,some college,free/reduced,none,63.0,61.0,54.0,Intermediate,Intermediate,Intermediate
503,female,group E,associate's degree,standard,completed,95.0,89.0,92.0,Master,Advanced,Master
504,female,group D,master's degree,free/reduced,none,40.0,59.0,54.0,Elementary,Intermediate,Intermediate
505,female,group B,some high school,standard,none,82.0,82.0,80.0,Advanced,Advanced,Advanced
506,male,group A,high school,standard,none,68.0,70.0,66.0,Intermediate,Intermediate,Intermediate
507,male,group B,bachelor's degree,free/reduced,none,55.0,59.0,54.0,Intermediate,Intermediate,Intermediate
508,male,group C,master's degree,standard,none,79.0,78.0,77.0,Advanced,Advanced,Advanced
509,female,group C,bachelor's degree,standard,none,86.0,92.0,87.0,Advanced,Master,Advanced
510,male,group D,some college,standard,none,76.0,71.0,73.0,Advanced,Intermediate,Intermediate
511,male,group A,some high school,standard,none,64.0,50.0,43.0,Intermediate,Intermediate,Elementary
512,male,group D,some high school,free/reduced,none,62.0,49.0,52.0,Intermediate,Intermediate,Intermediate
513,female,group B,some high school,standard,completed,54.0,61.0,62.0,Intermediate,Intermediate,Intermediate
514,female,group B,master's degree,free/reduced,completed,77.0,97.0,94.0,Advanced,Master,Master
515,female,group C,some high school,standard,completed,76.0,87.0,85.0,Advanced,Advanced,Advanced
516,female,group D,some college,standard,none,74.0,89.0,84.0,Intermediate,Advanced,Advanced
517,female,group E,some college,standard,completed,66.0,74.0,73.0,Intermediate,Intermediate,Intermediate
518,female,group D,some high school,standard,completed,66.0,78.0,78.0,Intermediate,Advanced,Advanced
519,female,group B,high school,free/reduced,completed,67.0,78.0,79.0,Intermediate,Advanced,Advanced
520,male,group D,some college,standard,none,71.0,49.0,52.0,Intermediate,Intermediate,Intermediate
521,female,group C,associate's degree,standard,none,91.0,86.0,84.0,Master,Advanced,Advanced
522,male,group D,bachelor's degree,standard,none,69.0,58.0,57.0,Intermediate,Intermediate,Intermediate
523,male,group C,master's degree,free/reduced,none,54.0,59.0,50.0,Intermediate,Intermediate,Intermediate
524,male,group C,high school,standard,completed,53.0,52.0,49.0,Intermediate,Intermediate,Intermediate
525,male,group E,some college,standard,none,68.0,60.0,59.0,Intermediate,Intermediate,Intermediate
526,male,group C,some high school,free/reduced,completed,56.0,61.0,60.0,Intermediate,Intermediate,Intermediate
527,female,group C,high school,free/reduced,none,36.0,53.0,43.0,Elementary,Intermediate,Elementary
528,female,group D,bachelor's degree,free/reduced,none,29.0,41.0,47.0,Elementary,Elementary,Intermediate
529,female,group C,associate's degree,standard,none,62.0,74.0,70.0,Intermediate,Intermediate,Intermediate
530,female,group C,associate's degree,standard,completed,68.0,67.0,73.0,Intermediate,Intermediate,Intermediate
531,female,group C,some high school,standard,none,47.0,54.0,53.0,Intermediate,Intermediate,Intermediate
532,male,group E,associate's degree,standard,completed,62.0,61.0,58.0,Intermediate,Intermediate,Intermediate
533,female,group E,associate's degree,standard,completed,79.0,88.0,94.0,Advanced,Advanced,Master
534,male,group B,high school,standard,completed,73.0,69.0,68.0,Intermediate,Intermediate,Intermediate
535,female,group C,bachelor's degree,free/reduced,completed,66.0,83.0,83.0,Intermediate,Advanced,Advanced
536,male,group C,associate's degree,standard,completed,51.0,60.0,58.0,Intermediate,Intermediate,Intermediate
537,female,group D,high school,standard,none,51.0,66.0,62.0,Intermediate,Intermediate,Intermediate
538,male,group E,bachelor's degree,standard,completed,85.0,66.0,71.0,Advanced,Intermediate,Intermediate
539,male,group A,associate's degree,standard,completed,97.0,92.0,86.0,Master,Master,Advanced
540,male,group C,high school,standard,completed,75.0,69.0,68.0,Intermediate,Intermediate,Intermediate
541,male,group D,associate's degree,free/reduced,completed,79.0,82.0,80.0,Advanced,Advanced,Advanced
542,female,group C,associate's degree,standard,none,81.0,77.0,79.0,Advanced,Advanced,Advanced
543,female,group D,associate's degree,standard,none,82.0,95.0,89.0,Advanced,Master,Advanced
544,female,group D,master's degree,standard,none,64.0,63.0,66.0,Intermediate,Intermediate,Intermediate
545,male,group E,some high school,free/reduced,completed,78.0,83.0,80.0,Advanced,Advanced,Advanced
546,female,group A,some high school,standard,completed,92.0,100.0,97.0,Master,Master,Master
547,male,group C,high school,standard,completed,72.0,67.0,64.0,Intermediate,Intermediate,Intermediate
548,female,group C,high school,free/reduced,none,62.0,67.0,64.0,Intermediate,Intermediate,Intermediate
549,male,group C,master's degree,standard,none,79.0,72.0,69.0,Advanced,Intermediate,Intermediate
550,male,group C,some high school,free/reduced,none,79.0,76.0,65.0,Advanced,Advanced,Intermediate
551,male,group B,bachelor's degree,free/reduced,completed,87.0,90.0,88.0,Advanced,Advanced,Advanced
552,female,group B,associate's degree,standard,none,40.0,48.0,50.0,Elementary,Intermediate,Intermediate
553,male,group D,some college,free/reduced,none,77.0,62.0,64.0,Advanced,Intermediate,Intermediate
554,male,group E,associate's degree,standard,none,53.0,45.0,40.0,Intermediate,Elementary,Elementary
555,female,group C,some college,free/reduced,none,32.0,39.0,33.0,Elementary,Elementary,Elementary
556,female,group C,associate's degree,standard,completed,55.0,72.0,79.0,Intermediate,Intermediate,Advanced
557,male,group C,master's degree,free/reduced,none,61.0,67.0,66.0,Intermediate,Intermediate,Intermediate
558,female,group B,associate's degree,free/reduced,none,53.0,70.0,70.0,Intermediate,Intermediate,Intermediate
559,male,group D,some high school,standard,none,73.0,66.0,62.0,Intermediate,Intermediate,Intermediate
560,female,group D,some college,standard,completed,74.0,75.0,79.0,Intermediate,Intermediate,Advanced
561,female,group C,some college,standard,none,63.0,74.0,74.0,Intermediate,Intermediate,Intermediate
562,male,group C,bachelor's degree,standard,completed,96.0,90.0,92.0,Master,Advanced,Master
563,female,group D,some college,free/reduced,completed,63.0,80.0,80.0,Intermediate,Advanced,Advanced
564,male,group B,bachelor's degree,free/reduced,none,48.0,51.0,46.0,Intermediate,Intermediate,Intermediate
565,male,group B,associate's degree,standard,none,48.0,43.0,45.0,Intermediate,Elementary,Elementary
566,female,group E,bachelor's degree,free/reduced,completed,92.0,100.0,100.0,Master,Master,Master
567,female,group D,master's degree,free/reduced,completed,61.0,71.0,78.0,Intermediate,Intermediate,Advanced
568,male,group B,high school,free/reduced,none,63.0,48.0,47.0,Intermediate,Intermediate,Intermediate
569,male,group D,bachelor's degree,free/reduced,none,68.0,68.0,67.0,Intermediate,Intermediate,Intermediate
570,male,group B,some college,standard,completed,71.0,75.0,70.0,Intermediate,Intermediate,Intermediate
571,male,group A,bachelor's degree,standard,none,91.0,96.0,92.0,Master,Master,Master
572,female,group C,some college,standard,none,53.0,62.0,56.0,Intermediate,Intermediate,Intermediate
573,female,group C,high school,free/reduced,completed,50.0,66.0,64.0,Intermediate,Intermediate,Intermediate
574,female,group E,high school,standard,none,74.0,81.0,71.0,Intermediate,Advanced,Intermediate
575,male,group A,associate's degree,free/reduced,completed,40.0,55.0,53.0,Elementary,Intermediate,Intermediate
576,male,group A,some college,standard,completed,61.0,51.0,52.0,Intermediate,Intermediate,Intermediate
577,female,group B,high school,standard,none,81.0,91.0,89.0,Advanced,Master,Advanced
578,female,group B,some college,free/reduced,completed,48.0,56.0,58.0,Intermediate,Intermediate,Intermediate
579,female,group D,master's degree,standard,none,53.0,61.0,68.0,Intermediate,Intermediate,Intermediate
580,female,group D,some high school,standard,none,81.0,97.0,96.0,Advanced,Master,Master
581,female,group E,some high school,standard,none,77.0,79.0,80.0,Advanced,Advanced,Advanced
582,female,group D,bachelor's degree,free/reduced,none,63.0,73.0,78.0,Intermediate,Intermediate,Advanced
583,female,group D,associate's degree,standard,completed,73.0,75.0,80.0,Intermediate,Intermediate,Advanced
584,female,group D,some college,standard,none,69.0,77.0,77.0,Intermediate,Advanced,Advanced
585,female,group C,associate's degree,standard,none,65.0,76.0,76.0,Intermediate,Advanced,Advanced
586,female,group A,high school,standard,none,55.0,73.0,73.0,Intermediate,Intermediate,Intermediate
587,female,group C,bachelor's degree,free/reduced,none,44.0,63.0,62.0,Elementary,Intermediate,Intermediate
588,female,group C,some college,standard,none,54.0,64.0,65.0,Intermediate,Intermediate,Intermediate
589,female,group A,some high school,standard,none,48.0,66.0,65.0,Intermediate,Intermediate,Intermediate
590,male,group C,some college,free/reduced,none,58.0,57.0,54.0,Intermediate,Intermediate,Intermediate
591,male,group A,some high school,standard,none,71.0,62.0,50.0,Intermediate,Intermediate,Intermediate
592,male,group E,bachelor's degree,standard,none,68.0,68.0,64.0,Intermediate,Intermediate,Intermediate
593,female,group E,high school,standard,none,74.0,76.0,73.0,Intermediate,Advanced,Intermediate
594,female,group C,bachelor's degree,standard,completed,92.0,100.0,99.0,Master,Master,Master
595,female,group C,bachelor's degree,standard,completed,56.0,79.0,72.0,Intermediate,Advanced,Intermediate
596,male,group B,high school,free/reduced,none,30.0,29.0,25.875,Elementary,Elementary,Elementary
